,model,fold,slope,pvalue,delta loglik,AIC_baseline,AIC
0,RNNG_top_down_beam,0,-0.0016643453407392387,0.3811898841791138,0.4055950371377435,-313.57246489731597,-312.38365497159145
1,RNNG_top_down_beam,20000,-0.0022151868717039474,0.30659350959771914,0.5528571079283324,-313.822270657367,-312.9279848732237
2,RNNG_top_down_beam,40000,-0.002530128583806146,0.17628567296236577,0.9671729932375683,-314.2206352555694,-314.1549812420445
3,RNNG_top_down_beam,60000,-0.002066973966926196,0.37647116632432664,0.41370430615805276,-313.33199985171154,-312.15940846402765
4,RNNG_top_down_beam,80000,-0.000540969085709341,0.8302349001843434,0.02431254173595221,-313.1437275849382,-311.1923526684101
5,RNNG_in_order_beam,0,-0.008571774239347157,0.16890770241722292,1.000994790268777,-317.02019088836994,-317.0221804689075
6,RNNG_in_order_beam,20000,-0.0015317682666868022,0.6276696635005554,0.12441678055668604,-315.30568608433913,-313.5545196454525
7,RNNG_in_order_beam,40000,-0.002976107561488262,0.5040600885980415,0.23609142564302488,-314.76692778306875,-313.2391106343548
8,RNNG_in_order_beam,60000,-0.009337906320189875,0.17563227119372432,0.9701019768976948,-316.1994451074417,-316.1396490612371
9,RNNG_in_order_beam,80000,-0.001164683792467275,0.743576702993979,0.056597197116389,-321.19880181197396,-319.31199620620674
10,SRNNG_top_down_beam,0,0.00027955187164886784,0.7782241484182594,0.0419517057190717,-314.6612891197112,-312.74519253114937
11,SRNNG_top_down_beam,20000,0.0005991678184805135,0.5444971278540649,0.1942500999852541,-314.46793727177817,-312.8564374717487
12,SRNNG_top_down_beam,40000,0.00034944189273129105,0.739166121140955,0.05863510022825835,-313.4312141730126,-311.54848437346914
13,SRNNG_top_down_beam,60000,0.00017529043105876104,0.8706609654289754,0.014021345540555785,-313.19002437298826,-311.2180670640694
14,SRNNG_top_down_beam,80000,-0.0009799394322843682,0.3912595961918023,0.38875641579235776,-318.23788329383416,-317.0153961254189
15,SRNNG_in_order_beam,0,-0.0015457155295256816,0.4136868012145073,0.35340285847058794,-317.30400189433726,-316.01080761127844
16,SRNNG_in_order_beam,20000,-0.0009461009937323746,0.5885856926654636,0.15473583441658434,-313.354192081415,-311.6636637502482
17,SRNNG_in_order_beam,40000,-0.0018548625885506512,0.4459464268587273,0.307258391630711,-316.9125136663891,-315.5270304496505
18,SRNNG_in_order_beam,60000,-0.003273658492241638,0.28648910874331435,0.6008562272930362,-313.52377580506817,-312.72548825965424
19,SRNNG_in_order_beam,80000,-0.0014613088169811556,0.5680080123991285,0.1724374523091683,-315.4831616551048,-313.82803655972316
